message,author,timestamp,category,sentiment,keyword_mentioned,message_length
"I just found a movie! It was exciting.","Eve","2025-02-17 20:19:54","entertainment",0.65,"movie",38
"I just found a story! It was boring.","Charlie","2025-02-17 20:19:59","other",0.63,"other",36
"I just tried game! It was weird.","Eve","2025-02-17 20:20:04","gaming",0.33,"game",32
"I just shared game! It was boring.","Eve","2025-02-17 20:20:09","gaming",0.73,"game",34
"I just loved Python! It was exciting.","Charlie","2025-02-17 20:20:14","tech",0.69,"Python",37
"I just shared an app! It was amazing.","Eve","2025-02-17 20:20:19","other",0.7,"other",37
"I just shared a trick! It was exciting.","Eve","2025-02-17 20:20:24","other",0.86,"other",39
"I just tried Python! It was amazing.","Charlie","2025-02-17 20:20:29","tech",0.72,"Python",36
"I just loved travel! It was boring.","Alice","2025-02-17 20:20:34","travel",0.91,"travel",35
"I just saw a movie! It was funny.","Eve","2025-02-17 20:20:39","entertainment",0.97,"movie",33
"I just tried recipe! It was amazing.","Alice","2025-02-17 20:20:44","food",0.99,"recipe",36
"I just found a trick! It was boring.","Eve","2025-02-17 20:20:49","other",0.57,"other",36
"I just shared Python! It was amazing.","Eve","2025-02-17 20:20:54","tech",0.4,"Python",37
"I just saw game! It was amazing.","Eve","2025-02-17 20:20:59","gaming",0.01,"game",32
"I just shared JavaScript! It was funny.","Charlie","2025-02-17 20:21:04","tech",0.71,"JavaScript",39
"I just saw game! It was exciting.","Charlie","2025-02-17 20:21:09","gaming",0.55,"game",33
"I just tried a meme! It was exciting.","Alice","2025-02-17 20:21:14","humor",0.02,"meme",37
"I just loved an app! It was exciting.","Eve","2025-02-17 20:21:19","other",0.16,"other",37
"I just found travel! It was exciting.","Bob","2025-02-17 20:21:24","travel",0.03,"travel",37
"I just saw a story! It was weird.","Bob","2025-02-17 20:21:29","other",0.5,"other",33
"I just tried a movie! It was exciting.","Bob","2025-02-17 20:21:34","entertainment",0.41,"movie",38
"I just tried a movie! It was exciting.","Bob","2025-02-17 20:21:39","entertainment",0.91,"movie",38
"I just loved a story! It was funny.","Eve","2025-02-17 20:21:44","other",0.31,"other",35
"I just loved a trick! It was exciting.","Charlie","2025-02-17 20:21:49","other",0.9,"other",38
"I just shared an app! It was weird.","Eve","2025-02-17 20:21:54","other",0.94,"other",35
"I just found recipe! It was boring.","Eve","2025-02-17 20:21:59","food",0.84,"recipe",35
"I just found a trick! It was funny.","Eve","2025-02-17 20:22:04","other",0.16,"other",35
"I just loved JavaScript! It was funny.","Eve","2025-02-17 20:22:09","tech",0.47,"JavaScript",38
"I just found a meme! It was boring.","Bob","2025-02-17 20:22:14","humor",0.12,"meme",35
"I just found JavaScript! It was funny.","Eve","2025-02-17 20:22:19","tech",0.83,"JavaScript",38
"I just found Python! It was funny.","Eve","2025-02-17 20:22:24","tech",0.4,"Python",34
"I just saw travel! It was amazing.","Bob","2025-02-17 20:22:29","travel",0.34,"travel",34
"I just saw an app! It was weird.","Bob","2025-02-17 20:22:34","other",0.06,"other",32
"I just shared Python! It was funny.","Charlie","2025-02-17 20:22:39","tech",0.88,"Python",35
"I just loved a trick! It was funny.","Alice","2025-02-17 20:22:44","other",0.94,"other",35
"I just tried Python! It was boring.","Alice","2025-02-17 20:22:49","tech",0.41,"Python",35
"I just shared a story! It was exciting.","Bob","2025-02-17 20:22:54","other",0.56,"other",39
"I just saw recipe! It was amazing.","Charlie","2025-02-17 20:22:59","food",0.39,"recipe",34
"I just loved JavaScript! It was funny.","Charlie","2025-02-17 20:23:04","tech",0.66,"JavaScript",38
"I just saw JavaScript! It was weird.","Eve","2025-02-17 20:23:09","tech",0.07,"JavaScript",36
"I just shared game! It was boring.","Eve","2025-02-17 20:23:14","gaming",0.12,"game",34
"I just loved recipe! It was amazing.","Charlie","2025-02-17 20:23:19","food",0.23,"recipe",36
"I just saw a story! It was boring.","Bob","2025-02-17 20:23:24","other",0.55,"other",34
"I just tried a movie! It was boring.","Alice","2025-02-17 20:23:29","entertainment",0.29,"movie",36
"I just shared a movie! It was funny.","Charlie","2025-02-17 20:23:34","entertainment",0.15,"movie",36
"I just found Python! It was amazing.","Alice","2025-02-17 20:23:39","tech",0.49,"Python",36
"I just found Python! It was weird.","Charlie","2025-02-17 20:23:44","tech",0.52,"Python",34
"I just found game! It was weird.","Charlie","2025-02-17 20:23:49","gaming",0.5,"game",32
"I just shared Python! It was boring.","Bob","2025-02-17 20:23:54","tech",0.74,"Python",36
"I just saw recipe! It was exciting.","Alice","2025-02-17 20:23:59","food",0.72,"recipe",35
"I just saw Python! It was amazing.","Alice","2025-02-17 20:24:04","tech",0.42,"Python",34
"I just found an app! It was funny.","Bob","2025-02-17 20:24:09","other",0.7,"other",34
"I just loved a trick! It was weird.","Alice","2025-02-17 20:24:14","other",0.93,"other",35
"I just tried game! It was weird.","Charlie","2025-02-17 20:24:19","gaming",0.57,"game",32
"I just loved game! It was boring.","Charlie","2025-02-17 20:24:24","gaming",0.22,"game",33
"I just shared Python! It was amazing.","Charlie","2025-02-17 20:24:29","tech",0.75,"Python",37
"I just found a movie! It was funny.","Alice","2025-02-17 20:24:34","entertainment",1.0,"movie",35
"I just loved a meme! It was weird.","Alice","2025-02-17 20:24:39","humor",0.44,"meme",34
"I just loved JavaScript! It was boring.","Bob","2025-02-17 20:24:44","tech",0.39,"JavaScript",39
"I just shared travel! It was amazing.","Charlie","2025-02-17 20:24:49","travel",0.02,"travel",37
"I just loved a story! It was exciting.","Alice","2025-02-17 20:24:54","other",0.11,"other",38
"I just loved travel! It was weird.","Charlie","2025-02-17 20:24:59","travel",0.63,"travel",34
"I just shared Python! It was boring.","Bob","2025-02-17 20:25:04","tech",0.11,"Python",36
"I just saw an app! It was weird.","Eve","2025-02-17 20:25:09","other",0.34,"other",32
"I just found recipe! It was funny.","Eve","2025-02-17 20:25:14","food",0.72,"recipe",34
"I just found game! It was funny.","Bob","2025-02-17 20:25:19","gaming",0.66,"game",32
"I just found Python! It was funny.","Bob","2025-02-17 20:25:24","tech",0.59,"Python",34
"I just loved a movie! It was boring.","Eve","2025-02-17 20:25:29","entertainment",0.23,"movie",36
"I just found a trick! It was exciting.","Charlie","2025-02-17 20:25:34","other",0.74,"other",38
"I just tried JavaScript! It was amazing.","Charlie","2025-02-17 20:25:39","tech",0.41,"JavaScript",40
"I just tried a story! It was boring.","Bob","2025-02-17 20:25:44","other",0.06,"other",36
"I just found JavaScript! It was funny.","Alice","2025-02-17 20:25:49","tech",0.68,"JavaScript",38
"I just found game! It was boring.","Alice","2025-02-17 20:25:55","gaming",0.47,"game",33
"I just loved JavaScript! It was weird.","Charlie","2025-02-17 20:26:00","tech",0.25,"JavaScript",38
"I just found a movie! It was exciting.","Eve","2025-02-17 20:26:05","entertainment",0.45,"movie",38
"I just loved recipe! It was weird.","Eve","2025-02-17 20:26:10","food",0.18,"recipe",34
"I just found a trick! It was funny.","Eve","2025-02-17 20:26:15","other",0.91,"other",35
"I just shared a story! It was funny.","Bob","2025-02-17 20:26:20","other",0.13,"other",36
"I just tried recipe! It was amazing.","Bob","2025-02-17 20:26:25","food",0.21,"recipe",36
"I just loved JavaScript! It was exciting.","Bob","2025-02-17 20:26:30","tech",0.74,"JavaScript",41
"I just found game! It was funny.","Eve","2025-02-17 20:26:35","gaming",0.77,"game",32
"I just loved a story! It was amazing.","Bob","2025-02-17 20:26:40","other",0.88,"other",37
"I just saw a movie! It was funny.","Bob","2025-02-17 20:26:45","entertainment",0.1,"movie",33
