message,author,timestamp,category,sentiment,keyword_mentioned,message_length
"I just loved a story! It was funny.","Charlie","2025-02-17 20:07:58","other",0.53,"other",35
"I just loved Python! It was boring.","Alice","2025-02-17 20:08:03","tech",0.86,"Python",35
"I just loved travel! It was exciting.","Alice","2025-02-17 20:08:08","travel",0.11,"travel",37
"I just shared game! It was boring.","Charlie","2025-02-17 20:08:13","gaming",0.08,"game",34
"I just shared Python! It was weird.","Charlie","2025-02-17 20:08:18","tech",0.46,"Python",35
"I just shared recipe! It was weird.","Eve","2025-02-17 20:08:23","food",0.98,"recipe",35
"I just loved an app! It was funny.","Bob","2025-02-17 20:08:28","other",0.28,"other",34
"I just shared an app! It was exciting.","Eve","2025-02-17 20:08:33","other",0.97,"other",38
"I just shared an app! It was funny.","Alice","2025-02-17 20:08:38","other",0.12,"other",35
"I just loved a trick! It was boring.","Charlie","2025-02-17 20:08:43","other",0.44,"other",36
"I just found an app! It was exciting.","Alice","2025-02-17 20:08:48","other",0.61,"other",37
"I just shared a movie! It was exciting.","Eve","2025-02-17 20:08:53","entertainment",0.71,"movie",39
"I just tried a trick! It was amazing.","Alice","2025-02-17 20:08:58","other",0.22,"other",37
"I just saw a meme! It was amazing.","Bob","2025-02-17 20:09:03","humor",0.23,"meme",34
"I just saw recipe! It was amazing.","Bob","2025-02-17 20:09:08","food",0.84,"recipe",34
"I just shared recipe! It was weird.","Eve","2025-02-17 20:09:13","food",0.73,"recipe",35
"I just tried an app! It was weird.","Charlie","2025-02-17 20:09:18","other",0.43,"other",34
"I just shared game! It was boring.","Alice","2025-02-17 20:09:23","gaming",0.65,"game",34
"I just saw an app! It was boring.","Eve","2025-02-17 20:09:28","other",0.92,"other",33
"I just shared game! It was boring.","Eve","2025-02-17 20:09:33","gaming",0.6,"game",34
"I just found game! It was amazing.","Alice","2025-02-17 20:09:38","gaming",0.67,"game",34
"I just tried a trick! It was exciting.","Alice","2025-02-17 20:09:43","other",0.45,"other",38
"I just tried a movie! It was weird.","Eve","2025-02-17 20:09:48","entertainment",0.83,"movie",35
"I just shared an app! It was weird.","Charlie","2025-02-17 20:09:53","other",0.67,"other",35
"I just found an app! It was exciting.","Charlie","2025-02-17 20:09:58","other",0.97,"other",37
"I just shared a movie! It was amazing.","Bob","2025-02-17 20:10:03","entertainment",0.59,"movie",38
"I just loved an app! It was weird.","Eve","2025-02-17 20:10:08","other",0.97,"other",34
"I just tried recipe! It was exciting.","Alice","2025-02-17 20:10:13","food",0.26,"recipe",37
"I just shared an app! It was exciting.","Charlie","2025-02-17 20:10:18","other",0.4,"other",38
"I just tried a movie! It was weird.","Bob","2025-02-17 20:10:23","entertainment",0.82,"movie",35
"I just found a trick! It was exciting.","Alice","2025-02-17 20:10:28","other",0.25,"other",38
"I just tried a trick! It was weird.","Bob","2025-02-17 20:10:33","other",0.01,"other",35
"I just tried travel! It was weird.","Eve","2025-02-17 20:10:38","travel",0.19,"travel",34
"I just saw Python! It was amazing.","Charlie","2025-02-17 20:10:43","tech",0.44,"Python",34
"I just found game! It was boring.","Alice","2025-02-17 20:10:48","gaming",0.99,"game",33
"I just found game! It was funny.","Eve","2025-02-17 20:10:53","gaming",0.05,"game",32
"I just shared a movie! It was funny.","Charlie","2025-02-17 20:10:58","entertainment",0.03,"movie",36
"I just tried Python! It was amazing.","Charlie","2025-02-17 20:11:03","tech",0.38,"Python",36
"I just loved a meme! It was exciting.","Charlie","2025-02-17 20:11:08","humor",0.95,"meme",37
"I just tried an app! It was exciting.","Bob","2025-02-17 20:11:13","other",0.77,"other",37
"I just loved game! It was weird.","Eve","2025-02-17 20:11:18","gaming",0.94,"game",32
"I just loved game! It was amazing.","Eve","2025-02-17 20:11:23","gaming",0.29,"game",34
"I just saw a movie! It was exciting.","Charlie","2025-02-17 20:11:28","entertainment",0.42,"movie",36
"I just loved game! It was funny.","Bob","2025-02-17 20:11:33","gaming",0.74,"game",32
"I just loved an app! It was amazing.","Alice","2025-02-17 20:11:38","other",0.13,"other",36
"I just found an app! It was exciting.","Charlie","2025-02-17 20:11:43","other",0.11,"other",37
"I just found game! It was funny.","Charlie","2025-02-17 20:11:48","gaming",0.75,"game",32
"I just shared a meme! It was boring.","Alice","2025-02-17 20:11:53","humor",0.42,"meme",36
"I just shared game! It was weird.","Alice","2025-02-17 20:11:58","gaming",0.14,"game",33
"I just found an app! It was weird.","Bob","2025-02-17 20:12:03","other",0.74,"other",34
"I just found a movie! It was weird.","Eve","2025-02-17 20:12:08","entertainment",0.11,"movie",35
"I just shared an app! It was amazing.","Alice","2025-02-17 20:12:13","other",0.23,"other",37
"I just shared a story! It was amazing.","Eve","2025-02-17 20:12:18","other",0.5,"other",38
"I just tried Python! It was weird.","Bob","2025-02-17 20:12:23","tech",0.99,"Python",34
"I just saw a meme! It was amazing.","Eve","2025-02-17 20:12:28","humor",0.66,"meme",34
"I just loved JavaScript! It was weird.","Eve","2025-02-17 20:12:33","tech",0.88,"JavaScript",38
"I just shared Python! It was exciting.","Charlie","2025-02-17 20:12:38","tech",0.38,"Python",38
"I just found Python! It was weird.","Alice","2025-02-17 20:12:43","tech",0.32,"Python",34
"I just loved recipe! It was exciting.","Eve","2025-02-17 20:12:48","food",0.46,"recipe",37
"I just loved an app! It was boring.","Bob","2025-02-17 20:12:53","other",0.83,"other",35
"I just saw an app! It was amazing.","Alice","2025-02-17 20:12:58","other",0.18,"other",34
"I just loved a trick! It was funny.","Eve","2025-02-17 20:13:03","other",0.55,"other",35
"I just shared game! It was amazing.","Bob","2025-02-17 20:13:08","gaming",1.0,"game",35
"I just tried a meme! It was boring.","Alice","2025-02-17 20:13:13","humor",0.86,"meme",35
"I just found a movie! It was amazing.","Eve","2025-02-17 20:13:18","entertainment",0.2,"movie",37
"I just found a meme! It was weird.","Charlie","2025-02-17 20:13:23","humor",0.84,"meme",34
"I just found travel! It was amazing.","Bob","2025-02-17 20:13:28","travel",0.52,"travel",36
"I just tried game! It was funny.","Alice","2025-02-17 20:13:33","gaming",0.62,"game",32
"I just loved game! It was weird.","Eve","2025-02-17 20:13:38","gaming",0.1,"game",32
"I just tried a meme! It was funny.","Charlie","2025-02-17 20:13:44","humor",0.22,"meme",34
"I just tried a movie! It was weird.","Eve","2025-02-17 20:13:49","entertainment",0.65,"movie",35
"I just found recipe! It was weird.","Alice","2025-02-17 20:13:54","food",0.55,"recipe",34
